SlowK,SlowD,RSI,MACD_Signal,MACD,MACD_Hist,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
44.2893,38.3501,37.8928,-2.405,-2.3464,0.0586,33.1977,-65.8979,70.0,40.0,32.45,32.9,30.35,30.85,582018.0,-1
43.9731,29.5966,42.948,-2.4197,-2.3481,0.0715,33.5331,-26.5152,0.0,50.0,31.5,32.95,31.45,32.5,406221.0,-1
26.7879,26.9733,38.9497,-2.4375,-2.4842,-0.0466,33.6807,-55.2877,10.0,60.0,31.75,32.1,31.0,31.6,334472.0,1
18.0289,39.4293,38.9497,-2.4259,-2.53,-0.1041,33.978,-84.6697,20.0,0.0,30.1,32.7,29.5,31.6,502086.0,1
36.1033,63.1314,33.0368,-2.3999,-2.5517,-0.1518,34.3177,-155.2111,30.0,0.0,31.05,31.4,30.0,30.2,536623.0,1
64.1559,80.2549,35.4658,-2.3619,-2.3998,-0.0379,34.9059,-91.1568,40.0,10.0,34.5,34.9,30.8,31.3,912644.0,-1
89.135,85.1362,44.585,-2.3524,-2.2829,0.0695,35.4211,29.9872,50.0,20.0,33.9,35.0,33.523,34.7,527335.0,-1
87.4738,75.7637,42.0199,-2.3698,-2.4467,-0.0769,35.5241,4.5412,60.0,30.0,33.9,34.9,33.65,34.05,687217.0,1
78.7998,61.2813,41.6459,-2.3506,-2.5541,-0.2035,35.7346,-15.7892,70.0,0.0,34.15,34.445,33.65,33.95,400672.0,-1
61.0175,43.6248,42.5096,-2.2997,-2.6438,-0.3441,35.9896,-23.7326,80.0,0.0,34.0,34.75,33.15,34.3,867732.0,-1
44.0266,28.9831,40.7723,-2.2137,-2.7554,-0.5417,36.231,-78.2268,90.0,10.0,32.6,34.0,31.05,33.75,1050092.0,1
25.8303,18.299,30.6566,-2.0783,-2.8018,-0.7236,36.5854,-171.3406,100.0,20.0,34.1,34.95,27.35,30.8,1653867.0,1
17.0924,13.0153,37.3755,-1.8974,-2.52,-0.6226,37.4119,-123.5484,100.0,30.0,32.8,34.6,32.3,34.25,975678.0,-1
11.9742,11.7449,31.501,-1.7417,-2.4748,-0.7331,37.8636,-173.7022,100.0,40.0,35.2,35.3,32.35,32.75,996194.0,-1
9.9793,11.336,36.0686,-1.5584,-2.2284,-0.67,38.5941,-73.6541,0.0,50.0,36.6,37.65,34.7,35.0,664218.0,-1
13.2813,18.2038,39.3805,-1.3909,-2.1107,-0.7197,39.1075,-62.2594,10.0,0.0,35.65,36.95,35.1,36.45,684711.0,-1
10.7474,32.2062,34.7306,-1.211,-2.0773,-0.8663,39.4872,-76.5965,20.0,0.0,36.15,37.3,35.1,35.2,702856.0,1
30.5828,48.411,36.7609,-0.9944,-1.8772,-0.8828,40.0996,-66.5468,30.0,10.0,36.75,37.65,35.1,36.2,569819.0,-1
55.2884,53.168,36.2578,-0.7737,-1.6964,-0.9226,40.6567,-60.1487,40.0,0.0,38.65,38.82,36.05,36.05,552749.0,-1
59.362,40.2077,42.0823,-0.5431,-1.4256,-0.8825,41.3148,-25.0499,50.0,10.0,41.05,41.5,37.8,38.95,901017.0,-1
44.8537,24.3709,46.6139,-0.3224,-1.3545,-1.032,41.6526,-31.5254,60.0,20.0,37.3,40.95,37.0,40.9,682024.0,1
16.4072,11.4858,35.1768,-0.0644,-1.4426,-1.3781,41.7601,-77.2043,70.0,30.0,37.15,38.0,36.1,37.35,620940.0,1
11.8517,9.461,34.2845,0.2801,-1.1726,-1.4527,42.3902,-109.4499,80.0,40.0,35.25,37.2,35.2,37.1,489252.0,1
6.1986,15.7491,28.4328,0.6433,-0.7854,-1.4287,43.1459,-168.7034,90.0,50.0,36.85,37.0,34.95,35.45,695102.0,1
10.3328,28.2001,29.8462,1.0004,-0.1119,-1.1123,44.2453,-248.2873,100.0,0.0,40.75,41.5,34.6,36.425,1840633.0,-1
30.716,46.3549,38.3332,1.2785,0.6501,-0.6284,45.3625,-193.9675,100.0,10.0,43.85,45.295,41.2,41.25,1001943.0,-1
43.5514,52.5406,44.1934,1.4356,1.122,-0.3136,45.95,-102.5443,100.0,20.0,48.25,48.85,42.4,43.75,1744807.0,-1
64.7973,52.4854,59.613,1.514,1.4535,-0.0606,46.2643,46.521,40.0,30.0,46.65,48.825,45.7,48.45,893255.0,-1
49.2732,38.7507,53.2034,1.5292,1.3768,-0.1524,45.9521,35.6986,0.0,40.0,48.05,49.75,45.8,46.4,1068661.0,1
43.3857,28.6755,59.8786,1.5673,1.4677,-0.0996,45.8881,72.3138,10.0,50.0,46.45,48.85,46.2,48.0,517664.0,-1
23.5931,23.877,53.8536,1.5922,1.3994,-0.1927,45.5864,-28.9449,20.0,60.0,45.5,46.95,44.9,46.15,428769.0,1
19.0476,33.9989,52.4645,1.6403,1.4803,-0.16,45.5058,-34.3858,30.0,70.0,46.05,46.85,45.1,45.75,544122.0,-1
28.9902,53.3717,52.8222,1.6803,1.6027,-0.0776,45.471,-73.2106,40.0,80.0,45.3,46.25,44.25,45.85,1047317.0,1
53.9588,69.7627,50.5459,1.6997,1.7255,0.0258,45.4168,-21.6762,0.0,90.0,47.25,48.18,44.1,45.1,666360.0,-1
