SlowK,SlowD,RSI,MACD,MACD_Hist,MACD_Signal,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
92.9596,92.5319,82.0367,8.445,2.1272,6.3178,74.8842,95.4552,40.0,100.0,98.01,100.25,95.61,98.32,798688.0,1
93.3249,90.8867,81.4548,7.7875,2.0015,5.786,72.6916,101.1685,50.0,100.0,93.65,98.51,90.69,97.26,977317.0,1
91.3113,83.6101,79.2839,6.9341,1.6486,5.2856,70.3247,110.4336,60.0,100.0,89.69,94.4,88.74,93.45,881526.0,1
88.0237,68.7546,75.8415,6.1001,1.2266,4.8735,68.1192,130.1514,70.0,80.0,89.88,92.13,87.4,88.76,1024051.0,1
71.4953,50.1774,78.3992,5.4283,0.8616,4.5668,66.2742,207.1239,80.0,90.0,89.53,91.54,87.9,89.89,835956.0,-1
46.7449,34.972,77.8458,4.3869,0.0355,4.3514,64.0182,230.799,90.0,100.0,65.6,92.91,65.22,88.96,2373040.0,1
32.292,26.6735,47.1059,3.0804,-1.2622,4.3425,61.5613,-125.0531,100.0,40.0,66.66,67.49,61.96,65.52,511123.0,1
25.8793,22.434,49.645,3.5468,-1.1113,4.6581,61.8105,-101.2733,80.0,50.0,68.92,69.0,65.39,66.48,241125.0,-1
21.8493,27.0535,57.2542,4.0012,-0.9346,4.9359,61.9701,-92.366,0.0,60.0,66.72,70.12,65.33,69.11,402694.0,-1
19.5735,40.6767,51.069,4.2787,-0.8909,5.1695,61.8095,-188.8402,10.0,70.0,66.42,67.86,65.06,66.7,486322.0,1
39.7377,57.3512,51.627,4.7945,-0.5977,5.3923,61.9402,-116.2617,20.0,80.0,70.86,71.58,66.6,66.9,452495.0,-1
62.719,64.7041,64.5018,5.3646,-0.1771,5.5417,62.0635,38.0311,0.0,90.0,72.89,73.94,70.0,70.96,365848.0,-1
69.5967,65.5699,73.3403,5.6369,0.0509,5.586,61.675,90.3606,0.0,100.0,73.12,74.29,71.41,73.14,323002.0,-1
61.7964,68.5011,72.8956,5.6997,0.1265,5.5732,60.9466,64.4905,0.0,70.0,69.93,73.2,69.0,72.85,384126.0,1
65.3165,78.4284,68.3779,5.7239,0.1823,5.5416,60.152,54.3832,10.0,80.0,69.88,73.02,69.36,70.09,447129.0,1
78.3905,83.9148,67.8892,5.9282,0.4321,5.496,59.6038,72.4176,20.0,90.0,72.34,73.41,69.7,69.81,317368.0,-1
91.5782,81.9828,78.9936,6.1287,0.7407,5.388,59.0138,129.2644,0.0,100.0,73.86,74.78,71.47,72.64,358882.0,-1
81.7758,71.5825,80.6443,6.0323,0.8295,5.2028,57.9705,139.4155,0.0,100.0,72.9,73.83,70.61,73.52,695224.0,1
72.5944,67.3832,80.0377,5.7851,0.7896,4.9955,56.7267,120.6893,0.0,100.0,66.98,73.6,64.8,72.88,855434.0,1
60.3774,63.7738,72.4159,5.4445,0.6464,4.7981,55.3883,88.4582,0.0,70.0,68.15,69.5,66.55,66.61,666373.0,1
