SlowK,SlowD,RSI,EMA,CCI,Aroon Down,Aroon Up,1. open,2. high,3. low,4. close,5. volume,Trend label
13.9865,18.771,42.3052,128.9617,-70.2508,20.0,90.0,2.54,2.58,2.37,2.428,203901.0,-1
13.0963,29.0365,44.607,130.042,202.8629,30.0,100.0,2.28,4.45,2.28,2.5014,3267847.0,1
29.2302,44.892,37.1044,130.7523,-157.3957,40.0,10.0,2.3,2.49,2.2044,2.3226,87997.0,1
44.783,53.4592,33.8293,132.8412,-201.5976,50.0,20.0,2.6141,2.6141,2.2,2.25,51825.0,-1
60.6628,56.0424,43.638,135.747,-59.4929,60.0,30.0,2.7,2.85,2.44,2.5982,91248.0,-1
54.9318,49.8942,45.7573,136.5809,-72.1036,70.0,40.0,2.6531,2.7258,2.5,2.66,94486.0,-1
52.5327,45.8785,45.3709,137.0924,-65.6871,80.0,50.0,2.4601,2.8652,2.4601,2.65,72344.0,1
42.218,44.1152,42.8043,137.7485,-90.322,90.0,60.0,2.79,2.87,2.45,2.58,213197.0,-1
42.8849,47.0835,46.7586,138.9983,-129.1501,100.0,70.0,2.5281,2.9,2.11,2.72,200596.0,1
47.2428,53.3842,43.7523,139.4266,-57.1455,0.0,80.0,2.78,2.955,2.46,2.63,78004.0,-1
51.1227,58.6483,49.0105,140.559,110.0726,0.0,90.0,3.07,3.09,2.7101,2.82,102896.0,-1
61.7872,65.2205,53.8141,140.496,116.1374,0.0,0.0,2.735,3.1637,2.52,2.9768,212417.0,1
63.035,70.0069,43.4102,139.304,57.8564,10.0,10.0,2.82,2.96,2.6,2.65,45675.0,1
70.8393,70.819,50.2712,140.276,74.2364,20.0,20.0,2.8273,2.91,2.582,2.87,67887.0,-1
76.1464,67.8031,49.6197,139.8154,48.0034,30.0,30.0,2.68,2.85,2.61,2.85,26696.0,1
65.4713,57.5293,43.6388,139.4319,30.8772,40.0,40.0,2.736,2.98,2.625,2.67,90047.0,1
61.7914,48.5782,46.3926,140.2793,-7.1553,50.0,50.0,2.62,2.79,2.466,2.77,47816.0,1
45.3252,38.4824,39.1333,140.5335,-38.9196,60.0,60.0,2.71,2.71,2.52,2.56,36265.0,1
38.6179,34.3728,41.29,142.324,-26.476,70.0,70.0,2.62,2.8,2.55,2.65,66053.0,1
31.5041,34.897,39.6264,143.7275,-75.697,80.0,80.0,2.289,2.81,2.22,2.6,178160.0,1
32.9964,40.9623,25.5825,145.6885,-233.0995,90.0,90.0,2.25,2.3,2.08,2.23,157095.0,1
40.1906,44.5905,26.6375,150.5726,-257.187,100.0,100.0,2.92,3.5,1.86,2.3,432871.0,-1
49.6999,44.8762,38.7858,155.6544,-113.3007,100.0,0.0,0.5783,3.25,0.55,2.8907,258841.0,1
43.8812,38.4382,39.7327,157.2429,-0.2968,70.0,0.0,0.5851,0.6799,0.54,0.585,706867.0,1
41.0476,32.0325,40.0535,158.8133,-47.2977,80.0,10.0,0.5904,0.6298,0.555,0.5875,135362.0,-1
